Dex,Pokemon,Chance,Chance percentage
63,Abra,1/225,0.4449%
304,Aron,1/225,0.4449%
610,Axew,1/225,0.4449%
69,Bellsprout,1/225,0.4449%
824,Blipbug,1/225,0.4449%
962,Bombirdier,1/225,0.4449%
761,Bounsweet,1/225,0.4449%
946,Bramblin,1/225,0.4449%
951,Capsakid,1/225,0.4449%
10,Caterpie,1/225,0.4449%
974,Cetoddle,1/225,0.4449%
935,Charcadet,1/225,0.4449%
977,Dondozo,1/225,0.4449%
885,Dreepy,1/225,0.4449%
355,Duskull,1/225,0.4449%
926,Fidough,1/225,0.4449%
963,Finizen,1/225,0.4449%
973,Flamigo,1/225,0.4449%
661,Fletchling,1/225,0.4449%
955,Flittle,1/225,0.4449%
996,Frigibax,1/225,0.4449%
92,Gastly,1/225,0.4449%
74,Geodude,1/225,0.4449%
999,Gimmighoul,1/225,0.4449%
969,Glimmet,1/225,0.4449%
574,Gothita,1/225,0.4449%
971,Greavard,1/225,0.4449%
736,Grubbin,1/225,0.4449%
856,Hatenna,1/225,0.4449%
679,Honedge,1/225,0.4449%
187,Hoppip,1/225,0.4449%
116,Horsea,1/225,0.4449%
859,Impidimp,1/225,0.4449%
950,Klawf,1/225,0.4449%
599,Klink,1/225,0.4449%
915,Lechonk,1/225,0.4449%
506,Lillipup,1/225,0.4449%
607,Litwick,1/225,0.4449%
270,Lotad,1/225,0.4449%
66,Machop,1/225,0.4449%
81,Magnemite,1/225,0.4449%
179,Mareep,1/225,0.4449%
942,Maschiff,1/225,0.4449%
932,Nacli,1/225,0.4449%
29,Nidoran♀️,1/225,0.4449%
32,Nidoran♂️,1/225,0.4449%
919,Nymble,1/225,0.4449%
43,Oddish,1/225,0.4449%
968,Orthworm,1/225,0.4449%
921,Pawmi,1/225,0.4449%
16,Pidgey,1/225,0.4449%
519,Pidove,1/225,0.4449%
731,Pikipek,1/225,0.4449%
60,Poliwag,1/225,0.4449%
137,Porygon,1/225,0.4449%
280,Ralts,1/225,0.4449%
953,Rellor,1/225,0.4449%
111,Rhyhorn,1/225,0.4449%
524,Roggenrola,1/225,0.4449%
837,Rolycoly,1/225,0.4449%
821,Rookidee,1/225,0.4449%
551,Sandile,1/225,0.4449%
664,Scatterbug,1/225,0.4449%
273,Seedot,1/225,0.4449%
540,Sewaddle,1/225,0.4449%
403,Shinx,1/225,0.4449%
